Name
"100 Black Men of Greater Detroit, Inc "
555 Nonprofit Studio Gallery
Abayomi Community Development Corporation
Accounting Aid Society
Action by Presence
Adopt-A-Plot
Adult Well Being Services
"AIDS Partnership Michigan, Inc"
Alkebu-Lan Village
All Four One
All Saints Soup Kitchen and Food Pantry
Allegra Prints and Imaging
Alliance Defense Fund
Alliance for a Safer Greater Detroit dba Crime Stoppers of Michigan
Alliance for Children and Families
Allied Media Projects
Alternatives for Girls
Alumni Association of the University of Michigan
Always Brewing Detroit
Alzheimer's Association - Greater Michigan Chapter
American Civil Liberties Union Fund of Michigan
"American Indian Health and Family Services of Southeastern Michigan, Inc"
American Red Cross - Southeastern Michigan Chapter
Arab American National Museum
Arab Community Center for Economic and Social Services
Archdiocese of Detroit
ARISE Detroit
ArtPlace - Nonprofit Finance Fund
Arts & Scraps
"Arts League of Michigan, Inc"
Asian and Pacific Islander American Vote - Michigan
Auntie Na's House
Autism Alliance of Michigan
Automation Alley Fund
Avery Park Renewal Project
Awesome Foundation
Barbara Ann Karmanos Cancer Institute
"Bates Academy, Elementary"
"Bates Academy, Middle School"
Be the Change in Detroit: Forest Park Beautification Project
Belle Isle to 8 Mile
Belle Isle Women's Committee
Berean Chapel of Detroit
Bethel AME Church
Big Brothers Big Sisters of Metropolitan Detroit
Black Caucus Foundation of Michigan
"Black Family Development, Inc"
Black Male Engagement Fund
Black Mothers' Breastfeeding Association
"Black United Fund of Michigan, Inc"
Boggs Educational Center Project Team
Bollywood Music Festival - Michigan Philharmonic
"Boy Scouts of America - Great Lakes Council, Inc"
Boy Scouts of America Council
Boys 2 Books
Boys and Girls Clubs of Southeastern Michigan
"Boys Hope Girls Hope of Michigan, Inc"
Brazeal Dennard Chorale
Bridge to the Garbage King
"Bridging Communities, Inc"
"Brightmoor Alliance, Inc"
Brightmoor Community Center
Burners Without Borders
Burton International Schools
Business Accelerator Network for Southeast Michigan (BAN)
Business Leaders for Michigan Foundation
Campbell Academic Services
Capuchin Soup Kitchen
Care First Community Health Services
Caring Athletes Team for Children's and Henry Ford Hospitals
"Cass Community Social Services, Inc"
Cass Corridor Neighborhood Development Corporation
Cathedral Church of St. Paul
Cathedral of Faith
Catherine Feguson Academy
Catholic Social Services of Wayne County
Center for Autism
Center for Michigan
Center for Youth and Families
Central Detroit Christian Community Development Corporation
Central United Methodist Church Community Development Corporation
Charles H. Wright Museum of African American History
Chica Chat Workshops
Child Care Coordinating Council of Detroit/Wayne County
Children's Aid Society of Southeastern Michigan
Children's Defense Fund
Children's Hospital of Michigan Foundation
Chinese Association of Greater Detroit Charity
Chocolate Cake Design Collective
Christ Child House
Christ the King Elementary School
Christus Victor Luthern Church
Chrysler Elementary School
Chrysler Foundation
Church of the Messiah Housing Corporation
Citizens Research Council of Michigan 
Citizenship Education Fund
City Connect Detroit
City Mission
"City Year, Inc"
Clark Park Coalition
Coalition on Temporary Shelter
"Code for America Labs, Inc"
Coleman A. Young Foundation
College for Creative Studies
"Communities in Schools of Detroit, Inc "
Community Development Advocates of Detroit
Community Foundation for Southeast Michigan
Community Health and Social Services Center
Community Health Awareness Group
Community PlanIT
Conservation Foundation
Cornerstone Schools Association
"Council of Michigan Foundations, Inc"
Courville Concert Choir
"Covenant Community Care, Inc"
Covenant House Michigan
Covenant Life Presbyterian Church
Cranbrook Educational Community
Crossroads of Michigan
CS Mott Foundation
Cultural Alliance of Southeastern Michigan
Delray United Action Council
"Delta Sigma Theta Detroit Foundation, Inc"
Detroit 300 Conservancy
Detroit Area Agency on Aging
"Detroit Area Pre-College Engineering Program, Inc"
Detroit Artists Market
"Detroit Association of Black Organizations, Inc"
Detroit Black Community Food Security Network
Detroit Catholic Pastoral Alliance
"Detroit Central City Community Mental Health, Inc"
Detroit Chamber Winds and Strings
Detroit Childrens Choir
