granter,granter_program,grantee,grantee_city,grantee_state,impact_area,impact_neighborhood,amount,year,length_years,data_source,notes,project_tags
Skillman Foundation,Good Schools,Children's Defense Fund,Washington,DC,Detroit,,"65,000",2011,1,Guidestar; IRS 990 2011,To establish five Freedom Schools,Freedom Schools
Skillman Foundation,Youth Development,Clark Park Coalition,Detroit,MI,Detroit,,"120,000",2013,1,http://skillman.org/How-We-Work/Investment-Areas/Youth-Development,To support Southwest Detroit Positive Youth Development Iniative ,Southwest Detroit Positive Youth Development Initiative
